category,temizlenmis_title,temizlenmis_description,source
other,üç kişilik evlenme teklifi gündem oldu,iki kadına birden evlenme teklifi eden adamın toplu evet aldığı video gündem oldu,Odatv.com
entertainment,bin tllik kabe sorusu gündem oldu,kim milyoner olmak isterde dokuzuncu soruya gelen yarışmacıya kabe tam olarak güneyinizde kalıyorsa hangi il sınırları içerisinde olabilirsiniz diye soruldu yiğit ata cankoy isimli genç kazandığı para ödülüyle yarışmadan çekildi,Odatv.com
politics,kabine toplantısı kararları açıklandı,bayram sonrası ilk kez cumhurbaşkanı erdoğan liderliğinde kabine toplantısı gerçekleşti kapsamda murat kurum kemal memişoğlu ise ilk kez toplantıya katıldı toplantının ana gündem maddeleri gündemdeki yerini aldı peki temmuz kabine toplantısı kara,Haberturk.com
politics,trumpın fotoğrafı tişörtlere basıldı,eski abd başkanı trumpa seçim mitinginde düzenlenen silahlı saldırı dünya gündemine otururken trumpın saldırıdan hemen sonra sağ yumruğunu gökyüzüne kaldırdığı anlarda çekilen fotoğraf gündem oldu dünyanın dört yanında gazete manşetlerinde yer alan,Haberturk.com
politics,cumhurbaşkanı erdoğan nato zirvesine katılacak,cumhurbaşkanı erdoğan washingtonda bugün başlayan temmuzda sonra erecek nato zirvesine katılacak yaşını kutlamaya hazırlanan natonun yılki zirve gündeminde rusyaukrayna savaşı ana gündem maddesi olacak cumhurbaşkanı erdoğan zirve kapsam,Haberturk.com
politics,stoltenberg washington zirvesindeki en acil görevimiz ukraynaya destek olacak,nato genel sekreteri jens stoltenberg washingtondaki nato zirvesinin en önemli gündem maddesinin müttefiklerin ukraynanın en acil ihtiyaçları ülkeye uzun vadeli destek için anlaşmaları olacağını söyledi anadolu ajansı,Anadolu Agency
politics,dünyanın iki farklı gündemi,euro israilin saldırılarının sürdüğü gazzedeki yıkım insani kriz son dönemde dünya gündeminde yer alan iki önemli konu başlığı oldu iki önemli gündem maddesinden yansıyan bazı fotoğraflar arasında ise benzerlikler göze çarpıyor,Anadolu Agency
other,istiklal marşı okuyan japonlar gündem oldu,önce müslüman olması haberlere konu olan japon uyruklu masataka kobayashi kez yeğeni birlikte istiklal marşını okudu,Odatv.com
entertainment,yalı çapkınının yeni yıldızı pozlarıyla gündem oldu,yalı çapkınına serpil karakteriyle katılacak olan oyuncu türkü su demirel paylaşımıyla gündemde,Odatv.com
politics,bakan şimşekten makam aracıyla ilgili iddialara yanıt,bakan şimşek bilinçli şekilde suni gündem oluşturulmak istendiğini belirterek buna karşı biz makrofinansal istikrarı tesis etmek sürdürülebilir yüksek büyümeye ulaşmak için uygulamaya koyduğumuz programımıza kararlılıkla devam edeceğiz dedi anadolu,Anadolu Agency
sports,montella arda arasındaki görüntü gündem oldu,milli futbol takımının italyan teknik direktörü vincenzo montellanın çekya maçının antrenmanında arda gülerin elinden yeleği çekip alması tepki çekti,Haber7.com
politics,chp lideri özelden açıklamalar,chp lideri özgür özel partisinin grup toplantısında açıklamalarda bulunuyor,Haberturk.com
sports,zil zurna sarhoş olan balotelli gündem oldu,son olarak süper lig ekibi adana demirsporda forma giyen şu anda kulüpsüz olan mario balotellinin italyada görüntüleri olay oldu,Haber7.com
sports,mert günok merihin konuşması gündem oldu,milli takım alecisi mert günokun yaptığı kurtarış ayyıldızlı oyuncularımızı şaşkına çevirdi merih demiral takım arkadaşının yanına gitti aralarında geçen konuşma,Haber7.com
other,üç dakikada nato zirvesi barış yok savaş var,bakmayin siz kuruluş yıldönümü nedeniyle azıcık festival havasında geçmesine,Hurriyet.com.tr
sports,nikeın suudi arabistan reklamı gündem oldu,ünlü spor giyim markası nike yeni reklamında suudi arabistandaki kadınların sosyal hayattaki değişim mücadelelerini konu aldı,Odatv.com
sports,hüseyin yücelden di maria açıklaması,beşiktaş ikinci başkanı hüseyin yücel angel di maria transferi için çarpıcı açıklamalarda bulundu,Haberturk.com
other,avustralyada polisin gözaltındaki yerli halk mensubu çocuğa sert muamelesi gündem oldu,avustralyada polisin gözaltına alınan first nations ilk halklar yerli halkına mensup çocuğa sert müdahalesine ilişkin görüntüler tepki çekti anadolu ajansı,Anadolu Agency
economics,hepsiburada nasdaq üst yöneticisini ağırladı,hepsiburada nasdaq küresel listeleme başkanı karen snowu ağırladı ceo nilhan onal gökçetekinin ev sahipliğinde gerçekleşen ziyarette nasdaq hepsiburada arasındaki iş birliği fırsatları değerlendirildiği belirtildi,Haberturk.com
other,camiden sabun çalan adam gündem oldu,caminin tuvaletini kullanan kişi sabunluğu kıyafetinin altına saklayarak çaldı camiden hızla çıkan şahıs lüks aracına binerek uzaklaştı,Odatv.com
politics,imamoğlu bakanla görüştü sosyal medyada gündem oldu,ibb başkanı ekrem imamoğlu berlinde almanya dışişleri bakanı annalena baerbock görüştü,Odatv.com
sports,şırnak uludere spor kulübünün stadı gündem oldu,şırnak uludere spor kulübünün stadyumu havadan görüntülendi eşsiz manzarası dikkat çeken stat sosyal medyada gündem oldu,Odatv.com
entertainment,oryantal solmazın son dansı gündem oldu,seda sayan uğur arslanın sunduğu evleneceksen gel adlı evlilik programıyla tanınan solmaz çiros dansları güzelliğiyle dikkat çekmişti solmaz son dansı sosyal medyada gündem oldu,Odatv.com
other,gelin damadın düğündeki mutsuzluğu gündem oldu,sosyal medyada yayılan düğün videosunda gelin damadın yüzündeki mutsuzluk büyük yankı uyandırdı,Odatv.com
entertainment,ateşe düştüm pişmanlığı,ebru yaşar kaçırdığı şarkılardan yaşadığı pişmanlıkları açıkladı yaşar mert demirin ateşe düştüm adlı şarkıyı seslendirmeden önce ilk olarak kendisine gönderdiğini söyledi,Haberturk.com
sports,fransa arjantini fifaya şikayet edecek,copa america sonrası şampiyonluk sevinci yaşayan arjantin milli takımı otobüste fransa milli takımına karşı tezahüratta bulundu arjantinliler anneleri nijeryalı babaları kamerunlu pasaportlarında fransa yazıyor ifadelerini kullandı hareket sonr,Haberturk.com
entertainment,ibrahim tatlısesin oxford sözleri gündem oldu,ibrahim tatlısesin torunu berfin karakeçilinin ofxord üniversitesine reklamcılık alanında başvurduğu öğrenildi akıllara tatlısesin meşhur sözü geldi,Odatv.com
sports,milli takımın yıldızı küçüklük fotoğrafı gündem oldu,galatasarayın milli takımımızın yıldız futbolcusu barış alper yılmazın çocukluk fotoğrafı sosyal medyanın gündemine oturdu,Odatv.com
other,en mutsuz düğün sosyal medyada gündem oldu,son günlerde sosyal medyada paylaşılan düğün fotoğrafları görenleri hayrete düşürdü mutluluğun sevincin dorukta olması beklenen düğün töreninde gelin damadın mutsuz halleri dikkat çekti,Odatv.com
politics,izmirdeki skandal sonrası skeç gündem oldu,izmirde yoldaki elektrik kaçağı nedeniyle iki vatandaşın hayatını kaybettiği skandal sonrası levent kırcanın yıllar önceki skeci yeniden gündem oldu,Odatv.com
politics,nato zirvesinin kadın liderleri,günlerdir dünyanın gözü washingtonda gerçekleşen nato liderler zirvesinde zirvenin ana gündem maddesi ise ukraynaya destek çin tehdidi oldu zirve sonunda kadın barış güvenlik politikasının güncellenmiş hali onaylandı bildirgeye üye,Haberturk.com
politics,türkiyeab yüksek düzeyli diyaloğunun ilk toplantısı yarın,türkiye avrupa birliği arasındaki yüksek düzeyli ticaret diyaloğunun ilk toplantısı ticaret bakanı ömer bolat avrupa komisyonu başkan yardımcısı valdis dombrovskis başkanlığında yarın brükselde yapılacak,Haberturk.com
politics,ukraynaya destek natoyu çatışmaya taraf yapmayacak,nato genel sekreteri jens stoltenberg ukraynaya askeri desteğe ilişkin natoyu çatışmanın tarafı haline getirmeyecek ukraynanın kendini savunma hakkını korumasına yardımcı olacak dedi,Haberturk.com
other,irfan değirmenci ben lgbti kimliğimle barışığım,gazeteci irfan değirmencinin merih demiralı eleştirdiği videonun bölümü kesilerek sosyal medyada eleştirilmesi gündem oldu,Odatv.com
other,gelinin inanılmaz değişimi,manisada geline yapılan makyaj gelinin değişimi sosyal medyada gündem oldu,Odatv.com
entertainment,hadise aynı kıyafeti ikinci kez giyince gündem oldu,hadise sahnesinde tasarrufa gitti güzel popçu önce giydiği kıyafetle sahneye çıktı ünlü şarkıcıya cimri hadise yorumları beraberinde geldi,Odatv.com
entertainment,netflixin tiktok tarikatı belgeseli gündem oldu şeytanın dansçılarında anlatılıyor,dansçı miranda derrick netflix belgeseli şeytanın dansçıları m adında tiktok tarikatının yayınlanmasının ardından ölüm tehditleri aldığını öne sürdü milyon kişi tarafından izlenen belgesel gündem oldu,Odatv.com
economics,asgari ücrete zam var mı,milyonlarca vatandaş temmuz ayına girmemize günler kala asgari ücret hakkında son gelişmeleri merak ediyor asgari ücrete ara zam olup olmayacağına dair arka arkaya gelen açıklamalarda tablo netleşirken yandan tüik tarafından temmuzda açıklanacak e,Haberturk.com
politics,cumhurbaşkanı erdoğandan yoğun diplomasi trafiği,cumhurbaşkanı erdoğan temmuz ayında kritik diplomasi trafiği yürütecek ilk olarak şanghay işbirliği örgütü liderler zirvesine katılacak olan erdoğan sonra nato liderler zirvesine katılacak,Haberturk.com
politics,murat kurum bakan olunca sözler gündem oldu,murat kurumun çevre şehircilik iklim değişikliği bakanlığına atanması sonrası ibb başkanı ekrem imamoğlunun ben ona bakan olamazsın demedim köfteci olamazsın dedim sözleri yeniden gündem oldu,Odatv.com
politics,chpli meclis üyesi darp edilip vuruldu durumu ağır,kayseri pınarbaşı belediye meclis üyesi şerafettin bahadır kimliği belirsiz kişiler tarafından önce darp edildi ardından silahla vuruldu durumu ağır olan bahadır tedavi altına alındı saldırganlar aranıyor,Haberturk.com
economics,bakan işıkhan açıkladı asgari ücret,asgari ücret tartışmaları gündemdeki yerini korumaya devam ediyor son olarak haziranda gazetecilerin sorularını yanıtlayan çalışma sosyal güvenlik bakanı vedat işıkhan amaçlarının geçici ekonomik refahı sağlamak olmadığını söyledi peki asgari üc,Haberturk.com
other,istanbulda sokak ortasında otlanan develer,sosyal medyada yayılan video izleyenleri şaşırttı istanbulda sokak ortasında otlanan deve gündem oldu,Odatv.com
politics,erdoğanın temmuz diplomasisi,cumhurbaşkanı erdoğan temmuz ayında yoğun diplomasi trafiği yürütecek şanghay işbirliği örgütü şiö zirvesi için kazakistanda bulunan erdoğan sonra türk devletleri teşkilatı tdt gayriresmi zirvesi için azerbaycana gelecek hafta ise nato zirv,Hurriyet.com.tr
entertainment,sultan köseni gören internet fenomeni hiko babanın tepkisi gündem oldu,sultan köseni karşısında gören hiko babanın yaşadığı şaşkınlık görenleri gülümsetti,Odatv.com
entertainment,esin gündoğdu verdiği kilolarla gündemde eğlenceli paylaşımı ise gündem oldu,ekranların sevilen komedi oyuncusu esin gündoğdu geçtiğimiz yıllarda sağlıklı beslenme sayesinde ameliyat olmadan yılda kilo vererek büyük dönüşüm yaşadı,Odatv.com
entertainment,lerin ünlü ismiydi ayşe mineden üzen haber,li yıllarda seslendirdiği erkek milleti yemin mi ettin şarkılarıyla ünlenen ayşe mineden üzen haber geldi,Hurriyet.com.tr
entertainment,akşam konser sabah ameliyat ibrahim tatlısesten haber var,harbiyede sahneye çıkan ibrahim tatlıses ertesi gün kalp ameliyatı oldu konserinde dinleyicilerinden gözyaşları içinde helallik isteyen sanatçının sağlık durumunun iyi olduğu öğrenildi davalık olduğu oğlu ahmet tatlıses konserde hastanede ibrah,Hurriyet.com.tr
sports,fenerbahçeye youssef ennesyriden beklenmedik haber telefon görüşmesi ortaya çıktı,adı fenerbahçe anılan sevillanın faslı golcüsü youssef ennesyri için romanın sürpriz atak yaptığı yeni gelişmeler yaşandığı ileri sürüldü,Hurriyet.com.tr
entertainment,diziyle hafızalara kazınmıştı ünlü oyuncudan acı haber geldi,kamera karşısına geçtiği beverly hills adlı diziyle genç yaşında hafızalara kazınan shannen doherty yılından yana hastalığına karşı verdiği mücadeleyi kaybetti,Hurriyet.com.tr
other,seçil erzana kötü haber,seçil erzanın şikâyeti üzerine denizbank yöneticileri hakkında başlatılan kişiyi hürriyetinden yoksun bırakma suçlamasına ilişkin soruşturmada takipsizlik kararı verildi savcılık erzanın iddialarının gerçeği yansıtmadığını suçların işlendiğine dair i,Hurriyet.com.tr
entertainment,acı haber,akın akınözünün kendisi gibi oyuncu olan annesi özlem akınözü uzun süredir mücadele ettiği hastalığa yenilerek hayatını kaybetti,Haberturk.com
entertainment,sürpriz teklifin perde arkasını anlattı kafamda hayal ettiğim gibi olmadı,camdaki kız dizisiyle tanınan feyyaz şerifoğlu italyanın capri adasında evlenme teklifi ettiği sevgilisi kanal d haber spikeri merve dinçkol önceki gün istanbul havalimanında görüntülendi,Hurriyet.com.tr
other,öğretmenlere iyi haber,milli eğitim bakanı yusuf tekinden öğretmene güzel haber geldi yıl öğretmenler için ikinci kez gerçekleştirecekleri il içi iller arası isteğe bağlı yer değiştirme başvurularının temmuzda başlayacağını bildiren bakan tekin öğretmenler odası buluş,Haberturk.com
other,emekli öğretmenden acı haber,balıkesirin erdek ilçesinde babası birlikte denizde yüzerken kaybolan yaşındaki emekli öğretmen banu şafak tutarın gün sonra kilometre uzaklıktaki bandırma ilçesine bağlı edincik altı sahilinde cansız bedeni bulundu iddiaya göre tutarın yüzer,Haberturk.com
other,trt haber haber koordinatörü görmez abu haber grubu başkanı seçildi,trt haber haber koordinatörü ahmet görmez asya pasifik yayın birliği abu haber grubu başkanı seçildi anadolu ajansı,Anadolu Agency
technology,facebook haber içeriğini engelleyecek,meta lisans ücreti ödememek için avustralyalılara haber içeriği paylaşmayı engellemeyi gündeme getirdiğini açıkladı facebookun sahibi metanın yaptığı açıklamaya hükümetin nasıl karşılık vereceği merakla bekleniyor,Haberturk.com
sports,david alabadan kötü haber,ispanyol devi real madridde top koşturan avusturyalı yıldız david alabadan kötü haber geldi detaylar,Haberturk.com
sports,lionel messiden kötü haber,copa americada kez şampiyonluğa ulaşan arjantin milli takımının dünyaca ünlü yıldızı lionel messi kolombiya oynadıkları final maçında sakatlanması nedeniyle oyuna devam edememişti,Haberturk.com
other,orman müdürü şehit oldu bergamadan acı haber,izmir bergamanın çobanlar mahallesindeki ormanlık alanda çıkan yangın saat sonra kontrol altına alınırken acı haber geldi kamyonetle yangın bölgesine gitmeye çalışan bergama orman işletme müdürü şahin dönertaş geçirdiği kaza sonucu şehit oldu ulaş,Hurriyet.com.tr
