Title ,Description,Real/Fake
afet müdahele planına asker dahil edilmedi,afet müdahale planında türk silahlı kuvvetleri ve milli savunma bakanlığı çözüm ortaklarında yok! afet operasyonlarının içinde hiç asker konumlandırılmamış,0
asker depremzedelere koşmak yerine bomba attı,askerler depremden sonraki gün suriye ırak sivilleri üzerine bomba yağdırdı,0
depremin ilk günü asker sahaya inmedi,mehmetçik yardım etmek yerine beklemiş ve arama kurtarma çalışmlarına katılmamış,0
yardıma gelmediler,askeri hava araçları deprem bölgesi için seferber edilmedi,0
kimyasal silah kullandılar,türk ordusu barış pınarı hareketında fosfor bombası ve kimyasal silahlar kullandı,0
alev izleri görüldü,barış pınar harekatında havaya bırakılan patlayıcıların izleri gözlendi,0
a-ain şehri bombalandı,türkiye al-ain şehrini yasaklı silahlarla vuruyor,0
bekleyen annenin acı fotoğrafı,harekat esnasında hayatını kaybetmiş çocuklarının başında bekleyen bir annenin fotoğrafları yayınlandı,0
silahlardan başı yandı,kullanılan kimyasal silahlar yüzünden başında 3.dereceden yanık oluşan çocuk hayatıı kaybetti,0
trump kürtlere ihanet etti,yapılan harekatlara trumptan bir açıklama gelmedi,0
trump sessiz!,"sosyal medya kullanıcıları harekat snrası trump'ı suçlayarak ""bunlar senin suçun""dedi",0
askerlere kafa tuttu,barış pınar harekatında siviller askere kafa tuttular,0
yangına neden oldular,,0
hamas olimpiyatları tehdit etti,"Videoda yüzü kapalı Hamas militanı görünümlü biri, Fransa'nın İsrail'e verdiği desteğe misilleme yapılacağından bahsediyor ve Arapça “Paris sokaklarında kan nehri akacak” diye uyarıda bulunuyor.",0
kate düblör kullanıyor,"bir dedektif, Sun gazetesinin yayımladığı ve Galler Prensesi Kate Middeleton'ın eşiyle birlikte Windsor’da alışveriş yaparken görüldüğü videodaki kişinin aslında bilindik bir dublör olduğunu söyledi",0
tik tok sosyalleşmeyi arttırıyor,TikTok'un algoritması yüzünden kullanıcıların platformda normalde izlemedikleri içeriklere maruz kaldıklarını ve bu yüzden bazen sıra dışı şeyler yaptıklarını gösterdi.,0
bilimsel içerikli yapay zeka videoları ," Fen, teknoloji, mühendislik ve matematik içeriği şeklinde  hazırlanan, dezenformasyon yayan 20'den fazla dilde 50'nin üstünde kanal tespit edildi. Bu kanallarda yapay zeka yardımıyla eğlenceli bilgiler öğretiliyor",0
rus savaş yanlısı fenomenin büyük geliri,"Ukrayna işgalini destekleyen Rus sosyal medya ünlülerinin, yaptıkları bu yayınlar üzerinden büyük reklam gelirleri elde ettiğini ortaya çıkardı.

Bu kişiler, günlük olarak savaşa dair en korkunç görüntülere ve sahte iddialara hesaplarında yer verirken, moda ve kripto para reklamları da paylaşıyor.",0
fransadaki isyanlara dair paylaşımlar ,"Bir grup genç erkeğin bir polis aracını sürdüğü ve aracın penceresinden sarkan bir kişinin elinde silah tuttuğu bir fotoğraf, Twitter’da “Fransa, günün fotoğrafı” mesajıyla paylaşıldı.",0
herkes iklim değişikliğinde hem fikir,tik tokta bu konudaki paylaşımlar algoritma sayesinde daha öne çıkıyor ve bilinci güçlendiriyor,0
seçim güvenliğini tehlikeye atıyorlar,"Hükümet, seçim öncesinde sansür uygulama ve sosyal medya ve bağımsız haber siteleri üzerindeki kontrolü sıkılaştırma çabalarını boşladı",0
fox cezayı kabul etmiyor,"ABD merkezli Fox News kanalı, 2020'deki başkanlık seçimlerinde hile yapıldığı iddiaları nedeniyle oy kullanma sistemini üreten Dominion şirketine 787 milyon dolar tazminat ödemeyi reddetti",0
dezenformasyon yasası meclisten geçemedi,"AKP ve MHP’nin “dezenformasyonla mücadele” gerekçesiyle hazırladığı, muhalefetin ve basın meslek örgütlerinin “sansür yasası” olarak nitelendirdiği Basın Kanunu ve Bazı Kanunlarda değişiklik yapılmasına ilişkin yasa teklifi, TBMM Genel Kurulu’nda kabul edilmedi",0
okul katliamı için komplo dedi,komplo teorisyeni alex jones 965 milyon dolar tazminat ödeyecek,0
zelenskiy rusyaya teslim oldu,"bir yandan da bu hafta Meta ve YouTube, Ukrayna Devlet Başkanı Volodimir Zelenskiy'nin ""Rusya'ya teslim olmaktan"" bahsettiği bir video yayınlandı",0
trumpın tweeti kaldırıldı ,twitter şiddete yönelttiği iddiasıyla trumpın tweetini kaldırdı,0
türkiye kırmızı listeye alınmayacak,covid prosedürleri gereğini karşılayan türkiyeyei listeye almayacak,0
düzcede elektrik altyapısı çöktü,"Düzce Gölyaka’da meydana gelen 5,9 büyüklüğündeki depremin ardından, elektrik altyapısı çöktü ",0
akp kadın kolları başkanı kaymakam oldu ,"AKP Kadın Kolları MKYK üyesi olan  Şeyma Şendur, 21 Kasım 2022’de Amasya’nın Hamamözü ilçesine vekil kaymakam olarak atandı.Partili bir kişinin ilçeye kaymakam olarak atanması tepki çekti.",0
Bir Polis Eleştirel Paylaşım Yaptığı için Gözaltına Alındı”,"bir polisin, İçişleri Bakanı Süleyman Soylu’nun bir yakınının Baltalimanı Polisevi’nde bir yılı aşkın süredir kaldığına ilişkin eleştirel bir sosyal medya paylaşımı yaptığı için tutuklandığını ve açığa alındığını söyledi.",0
"HDP Taksim
Saldırısının
Araştırılmasını İstedi
AK Parti ve MHP
Reddetti",Taksim saldırısının araştırılması için verdikleri önergenin de AKP ve MHP'nin oylarıyla reddedildiğini açıkladı.,0
"Cumhurbaşkanlığı
Koruma Araçları için
Yeni Lüks Araç Siparişi","cumhurbaşkanı erdoğan togg yerine alman audi siparişi vermiş ,",0
Üç Suriyeli Taksim’deki Terör Saldırısıyla Dalga Geçti,suriyeli mülteciler terör saldırı ardından video çekerek ve alaycı hareketlerde bulunarak sosyal medya hesaplarına yüklediler,0
Altı Afgan İki Türk Vatandaşını Hastanelik Etti,"konyadaki bir petrol istasyonunda ,jandarmanın önünde afganlat 2 türk işçiyi hastanelik etti",0
Düzce’deki Rabia Anıtı Kaldırıldı,"Düzce’deki Rabia Anıtı, ilk olarak Düzce Terminal Kavşağı’na yerleştirilmiştir. Sürücülerin görüşünü engelleyerek trafik kazasına sebebiyet verebileceği gerekçesiyle kaldırıldı",0
“OECD Verilerine Göre Türkiye ‘Kadına Şiddet’ Konusunda Birinci Sırada,Ekonomik İşbirliği ve Kalkınma Örgütü (OECD) 2019 yılı verilerine göre Türkiye’de kadına şiddet oranı yüzde 38. Neredeyse 10 kadından 4’ü hayatında erkek şiddetine maruz kalıyor.,0
"“ABD HAARP
Sistemiyle Düzce
Depremini Tetiklemiş
Olabilir",düzce halkı deprem sırasında gördüğü bazı ışımalar sonucu abd'nin haarp sisteminin depremi tetiklediğini savundu,0
tasarruf bu kez öğrenciyi vurdu,Tasarruf Tedbirleri Genelgesi nedeniyle Söke’de köylerdeki öğrenciler okula servisle taşınmayacak,0
kredi kartı aidatları iade edilecek,"Hazine ve Maliye Bakanlığı tarafından kredi kartı aidatlarının iade edileceği iddia edildi. Paylaşımda, kredi kartı aidatlarını geri almak isteyenlerin, gönderide yer alan ""Şimdi Başvur"" düğmesine tıklayarak işlemlerini başlatabileceği açıklandı",0
Türkiye Taşkömürü Kurumu özelleştiriliyor,mehmet şimşek aralarında türkiye taş kömürüde bulunan 19 kamu iktisadi kurumunu özelleştiriyor veya tamamen kapatmakla alakalı çalışmalar yürütüyorlar.,0
İsrail'in jet yakıtları Türkiye'den gidiyor,"""Türkiye’nin İsrail’e jet yakıtı ihracatına ilişkin belgelere ulaştı. Buna göre Türkiye, THY-Opet ve Petrol Ofisi üzerinden İsrail’e binlerce ton jet yakıtı ihraç etmiş ve etmeye de devam ediyor",0
"İTÜ rektörünün Togg'u kaza yaptı, hava yastıkları açılmadı",İTÜ rektrünün Togg'u kaza yaptı darbe alınmasına karşın hava yastıklarının açılmamış olduğu görüldü,0
mekez bankasının raporu sızdı ,Merkez Bankası'ndan raporunda doların 15 gün içinde 40 lira olacağı yazıyor,0
ÖTV ve KDV'ye artış geliyor,mehmet şimşek iş insanlarıyla yaptığı toplantıda ötv oranlarının artabileceğni kdv'nin sabit kalacağı mesajını verdi,0
Haftalık mesai süresi 45 saatten 40 saate indirilecek,türk iş kanununda değişiklik geliyor mesai saatlaeri değişiyor.bazı mesleklerdeki çalışma süreleri yüzde 25 azalacak,0
Deprem yardımları Üsküdar Belediyesi otoparkında bekletiliyor,vatandaşların bir yıl önce deprem bölgesine gönderlmesiiçin üsküdar belediyesine teslim edilen yardımlar otoparktan çıktı,0
2024 yılında ek MTV ödenecek,deniz zeyrek canlı yayında dile getirdi: bizden ikinc bir motorlu taşıtlar vergisi alacaklar,0
Borusan Türkiye'deki üretimini durdurdu,"Borusan Birleşik Boru Fabrikaları Sanayi ve Ticaret AŞ'nin (Borusan Boru) Türkiye'deki üretimini durdurduğu, yatırımlarının tamamını yurtdışına çıkardığı ve Türkiye'yi terk ettiği ortaya çıktı",0
Ankara'nın IMF heyetini Türkiye'ye davet ettiği öğrenildi,Şu an IMF ile Hazine ve Maliye Bakanlığı arasında eylül ayında üst düzey bir ziyaret için görüşmeler yapılıyor. Eylül ayı ortalarında büyük ihtimalle bir heyet Türkiye'ye gelecek ve bu üst düzey bir heyet olacak,0
"Tofaş ve Renault'nun Bursa'daki fabrikalarının iflas etti
","hyundai,toyota,renault ve tofaş üretimi durdurmaya karar verdiklerini duyurdu",0
yatırım hedefi gösteriyor,Merkez Bankası Başkanı Hafize Gaye Erkan'ın vatandaşları bazı yatırım araçlarına yönlendiriyor,0
mehmet şimşekten şok açıklama, hazine ve maliye bakanı şimşek bütçe açığının sebei emekliler dedi,0
20 tllik madeni para tevadüle girdi,vatandaşlar buldukları20 tllik madeni parayı sosyal medya hesaplarında paylaştılar,0
kiraya üst sınır geldi,ev tiplerine göre belirlenen üst sınır kuralına uyulmadığı takdirde ticaret bakanlığı para cezası verecek,0
mehmet şimşekten kkm sitemi,bakan şimşek kur korumalı mevduatın kaldırılacağını söyledi ve devlete yük  olduğunu söyledi,0
tcbm başkanı turgut özalın akrabası çıktı,Cumhurbaşkanı Recep Tayyip Erdoğan'ın imzasıyla Türkiye Cumhuriyet Merkez Bankası Başkanlığı'na atanan Hafize Gaye Erkan'ın Malatyalı ve Türkiye Cumhuriyeti 8. Cumhurbaşkanı Turgut Özal'ın akrabası olduğu öne sürüldü.,0
Cumhurbaşkanı Erdoğan'ın yeni asgari ücreti açıkladı,Cumhurbaşkanı Recep Tayyip Erdoğan'ın Temmuz ayında asgari ücrete yapılacak olan ara zammın 13 bin 463 TL olarak açıklandı,0
Türkiye'nin dünya ekonomi sıralamasında 23. sıraya geriledi," İmamoğlu yayın sırasında vatandaşlara bir grafik gösterdi. Grafikte ""Türkiye Dünyada Kaçıncı Büyük Ekonomi?"" başlığının yer aldığı görüldü. Verilen bilgilerde Türkiye'nin 2017'de 17, 2018'de 19, 2019'da 19, 2020'de 20, 2021'de 21 ve 2022'de 23. sırada yer aldığı belirtildi.",0
BOTAŞ'ın Rusya'ya satılıyor,biim nsanı ali arif türk rus gazpromun borcuna karşılık türkiyeden botaşı istedi,0
Memur maaşının 17 bin lira olacak,erdoğanın temmuz ayı için 22 bin tl olara açıkladığı en düşük memur maaşının brüt tutar olduğu net miktarın ise 17 bin tl olduğu söylendi,0
ABD'li milyarder George Soros hayata gözlerni yumdu,İrlandalı kaynaklara dayandırılarak yapılan bazı paylaşımlarda 92 yaşındaki George Soros'un geçirdiği kalp krizi sonucu hayatını kaybettiğine dair ifadeler görüldü,0
BOTAŞ resmi araçla Kapalıçarşı'dan döviz aldı,kapalıçarşıdan devasa kasalarla döviz alan şirketlerden birisi de botaşmış kapalıçarşı esnafı doğruladı,0
merkez bankasıda dövizi oradan alıyor,"Döviz arzında yaşanan sorun ve uygulanan sıkı gözetim uygulamaları, birçok alanda derinliği olan Kapalıçarşı’yı yeniden gündeme taşıdı. Özel şirketlerden döviz borcu olan vatandaşa ve kamuya kadar birçok alanda talep, Kapalıçarşı’ya yöneldi. Verilen bilgiye göre sadece Merkez Bankası, demir sandıklar ile çarşıya her gün 5 milyar TL getiriyor ve karşılığında 260 milyon dolar topluyor",0
the guardian selçuğu yazdı,Bayraktar dünya savunma sanayisine 16 trilyon dolar zarar verdi,0
15 gün içinde hasar tespit başvurusunda bulunmayanlar DASK’tan ödeme alamayacak,kat mülkiyeti olup dask yaptıran ve enkazdan sağ çıkan vatandaşlar ihbar yapıp hasar ödemesi alabilyor sürenin bitmesine son 10 gün kaldı,0
"İsveçli mobilya üreticisi, NATO gerginliği nedeniyle restoranlarında yoğurt satışını durdurdu","Türkiye, İsveç'in NATO'ya üyeliğini onaylayana kadar IKEA'nın mağazalarında yoğurt satışını yasakladığını duyurdu",0
Çipli hayvan başına vergi alınacak,Bir süredir Ev Hayvanları Kayıt Sistemi (PETVET) ile evcil hayvanlara çip takılıyor ve pasaport üretiliyor. Çiplenen her hayvan da bir insan tarafından sahiplenilmiş oluyor ve o kişinin sorumluluğuna giriyor.hayvan başına belirlenen miktar 200 tl,0
Taksim'de doğalgaz bulundu,istanbulda yayalaştırma projesi kapsamında yapılan kazılar sonucunda 38 milyar metre küp doğalgaz bulundu,0
Doğalgazın metreküp fiyatına %84 zam,"Enerji Piyasası Düzenleme Kurumu'ndan, özel şirketlerin yürüttüğü 'boru hatları aracılığıyla doğalgazın kullanıcılara temininin sağlanması, dağıtım şebekesinin inşaa edilmesi ve bakım onarım hizmetlerini kapsayan' yeni abonelere yönelik 'doğalgaz hizmet bedeli' zammı açıklandı.",0
Gaziantep'te TOKİ konutlarının tamamı Suriyelilere çıktı,yurdun artık örtülü olmaktan çıkıp bağıra bağıra meydana gelen işgalinin bir örneği. Gaziantep’te yapılan toplu konutlardan çıkan kura sonuçları…Diğer tüm ilçelerde de durum aynı.,0
insülin artık ücretsiz,"EliLillyandCo' olan bir Twitter hesabından yapılan paylaşımda ""İnsülinin artık ücretsiz olduğunu duyurmaktan büyük heyecan duyuyoruz"" ifadeleri yer aldı.",0
"%25'in üzerinde zam yapan ev sahipleri, aradaki tutarı kiracılara iade edecek ","""Yargıtay kiracıların yüzde 25'ten fazla yapılan artışları geriye dönük olarak talep edebileceğine ilişkin karar verdi.",0
 hastanelerin %40'ının iflas eşiğinde olduğunu söyledi,"Almanya Sağlık Bakanı Karl Lauterbach Almanya Birinci Televizyon Kanalı ARD'de yayımlanan ""Bericht aus Berlin"" programında yaptığı açıklamasında hastanelerin %40'ının iflas eşiğinde olduğunu söylediği",0
isviçre hükümeti doğalgaz derecesini yükselten komşusunu şikayet edenlere ödül veriyor,isviçrede reklam panolarına evini 19*C fazla  ısıstıyorsa onu ihbar edip 200 frank kazanabilirsiniz yazılarına yer verildi,0
"Türkiye, İngiltere'ye 1.5 milyon karanfil gönderecek",kraliçe elizabethin cenazesi için türkiye karanfil gönderecek,0
almanya kdv'yi düşürüyor,Almanya hükümetinin KDV’yi geçici bir süreliğine %19’dan %7’ye indireceğini açıkladı,0
"Hamas lideri Heniyye, Amit Nakesh isimli Mossad ajanı tarafından suikasta uğradı",israil kaynakları açıklama yaptı heniyyenin ölümüne neden olan kişi nakesh isimli bir mossad ajanı,0
Trump'ı vuran saldırgan aslında su kulesindeydi,"saldırıyı zanlı Crooks'un gerçekleştirmediği, su kulesinde yer alan başka bir kişinin Trump'ı vurduğu ortaya çıktı",0
Video Maduro yanlısı grupların oy sandıklarını çaldığı anı gösteriyor," bir videoda, Venezuela'daki devlet başkanlığı seçimlerinde oy sandıklarının çalındığı iddia edildi. Sandıkları çalanların ise Devlet Başkanı Nicolas Maduro yanlısı çeteler olduğu anlaşıldı",0
Video ABD’de polislerden kaçan bir suçlunun yakalanma anını gösteriyor,"ABD'de aracıyla polislerden kaçan suçlu, polis ekiplerinin profesyonel hamlesiyle böyle yakalandı",0
"Elon Musk, Trump'ın kampanyasına aylık 45 milyon dolar bağış yapıyor","ABD merkezli The Wall Street Journal gazetesi, geçtiğimiz günlerde okuyucularına sunduğu bir haberinde Tesla ve Space X gibi teknoloji şirketlerinin sahibi iş insanı Elon Musk'ın eski ABD Başkanı ve Cumhuriyetçilerin adayı Donald Trump'ın kampanyasını destekleyen America PAC adlı yeni siyasi eylem komitesine ayda yaklaşık 45 milyon dolar vermeyi planladı",0
Fotoğraftaki kız Mecdel Şems saldırısında ölenlerden biri,"ellerindeki istihbarat ve yaptıkları değerlendirme sonucunda"" roketin Lübnan'ın güneyindeki Şeba beldesinin kuzeyinden ateşlendiğini belirtti ve saldırıyı Lübnan Hizbullahı'nın düzenlediğini savundu.",0
"""Dünya Ekonomi Forumu, Göbeklitepe'deki kazı çalışmalarını durdurdu""","Sosyal medyada, Göbeklitepe'deki arkeolojik kazı çalışmalarına Dünya Ekonomi Forumu'nun (WEF) müdahale ettiği ve engel olduğu iddiası öne sürüldü.",0
"""Robert De Niro ABD'deki Filistin destekçilerine tepki gösterdi""","Videoda ""Konuştuklarınız saçmalık, evinize dönün"" dediği görülen De Niro'nun bu sözleri İsrail'i protesto eden Filistin destekçilerine söylediği iddia edildi.

İsrail merkezli haber kaynakları da söz konusu görüntüleri okuyucularına ""Oyuncu Robert De Niro Filistin yanlısı protestocularla yüzleşiyor"" başlığı ile servis etti.",0
"""Sultan Vahdeddin'in bir gazeteye verdiği demeçte Türklüğü aşağılayan ifadeler kullandığı"" ","Sosyal medyada Sultan Vahdeddin'in 1923'de El Ahram Gazetesi'ne ""Türkler dini, soyu, sopu, yurdu belirsiz karmakarışık bir cahiller sürüsüdür"" yorumunda bulunduğu iddiası öne sürüldü. ",0
Time dergisinin Elon Musk'ı 2023 yılın kişisi seçti,Sosyal medya uygulaması Facebook'ta paylaşılan bir gönderide Elon Musk'ın Time dergisi tarafından 2023 yılının kişisi seçildiği iddia edildi. ,0
"""Avrupa Merkez Bankası'nın Atatürk fotoğraflı hatıra parası bastırdı""","Sosyal medyada nominal değeri sıfır olan ve üzerinde Gazi Mustafa Kemal Atatürk ve Anıtkabir resminin yer aldığı bir hatıra parasın fotoğrafı paylaşılarak,  paranın Avrupa Merkez Bankası tarafından basıldığı iddia edildi. ",0
ABD'li aktör Sylvester Stallone'nin öldüğü iddiası,,0
Vikings dizisinin başrol oyuncusu Travis Fimmel'in Müslüman oldu,"Vikings dizisinin ana karakteri Ragnar Lothbrok'u canlandıran Travis Fimmel'in takkeli ve tesbihli bir fotoğrafları paylaşılarak, oyuncunun Müslüman olduğu iddiası öne sürüldü. İddiada, fotoğrafların haricinde herhangi bir resmi açıklama, kaynak vs. yer almadığı görüldü. ",0
"Threads'ın logosunun, Simpson dizisindeki bir karakterden esinlenilerek oluşturuldu", Meta tarafından kullanıcılara açılan Thereads'ın logosunun Simpson dizisindeki Homer Simpson'un kulak çizimi örnek alınarak tasarlandığı iddia edildi,0
Orhan Gencebay'ın öldüğü iddiası,Sanatçı Orhan Gencebay'ın hayatını kaybettiği öne sürüldü.,0
Ali Şir Nevai’nin türbesinin yıkıldı,"Sosyal medyada bazı kullanıcılar, Afganistan’ın batısında yer alan Herat kentindeki Ali Şir Nevai’nin türbesinin yıkılmaya başlandığını iddia etti.",0
656 yıllık tarihi camiye PVC pencere takıldığı öne sürüldü,Çanakkale'nin Ayvacık ilçesine bağlı Tuzla Köyü'nde yer alan ve 1366'da I. Murat tarafından yaptırılan Hüdavendigar Külliyesi'nde yürütülen restorasyon çalışmaları gündem oldu. Bazı gazeteler ve sosyal medya hesapları restorasyon sırasında yapının dokusuna uygun olmayan malzemelerin kullanıldığını öne sürdü. ,0
Stanley Kubrick NASA'nın Ay'a iniş videolarının sahte olduğunu söyledi mi?,"Dr. Strangelove, 2001: A Space Odyssey, A Clockwork Orange ve The Shining gibi kült filmlerin yönetmeni Stanley Kubrick'in (1928-1999), NASA'nın yayınladığı Ay'a iniş videolarının sahte olduğu ve kendisi tarafından filme alındığını söylediği ile ilgili haberler yayıldı.",0
Filistin'in sözde Ermeni soykırımı anısına pul bastırdığı iddiası,"Sosyal medya ve çeşitli platformlarda Filistin'in, sözde Ermeni soykırımı anısına pul bastırdığı iddia edildi.Pulun, 1915 olaylarının 100'üncü yıl dönümünde basıldığı öne sürüldü.",0
Çengelköy'de yer alan Kuleli Askeri Lisesi  satıldı,Kuleli Askeri Lisesi binası Araplara satıldı'. Askeri okulların kapatılmasını alkışlayan ya da ses çıkartmayanlar bu habere yorum yapmasın kına yaksın,0
İzlanda'da insan şeklinde elektrik direkleri inşa edildi,İzlanda'daki elektrik direkleri 2008 yılının en iyi tasarım ödülünü almıştır. ,0
Cacabey Medresesi'ndeki kümbet delinip alüminyum pencere takıldı,"Cacabey Medresesi'nde milyonluk restorasyon faciası: Tarihi kubbeye alüminyum pencere taktılar
",0
"Videonun ""Yeni yol yapımı için yıkılan peribacalarını gösterdiği"" iddiası","UNESCO Dünya Kültür mirası listesinde bulunan Kapadokya'daki peri bacaları iş makineleriyle yıkılıyor. 
TC KulturTurizm Bakanlığı ve Mehmet Nuri Ersoy tarih, kültür ve turizm adına binlerce yıllık mirasımıza, varlığımıza iş makineleri saldırıyor. Göreviniz bu rezalete son vermektir.",0
Topkapı Sarayı'ndaki 500 yıllık çinileri matkapla deldiler,"Topkapı Sarayı'ndaki 500 yıllık İznik çinilerinin matkapla delindiği öne sürüldü. İnternet sitelerinde ve sosyal mecralarda paylaşılan görselde, tarihi çinilerde delikler bulunduğu göze çarpıyor.",0
"""Birleşmiş Milletler askerleri, Türkiye'de tampon bölge mi oluşturuyor?""","Bu görüntüler Gaziantep Oguzeli'nden!
Gaziantep 'te neler oluyor.
BİRLEŞMİŞ MİLLETLER LOGOLU VE ÇÖL boyası yapılmış zırhlı araçların GAZİANTEP'TE İşi ne?
Hayrola BM askerleri Türkiye içerisinde tampon bölgemi oluşturuyor. Ya da nereye gideceklerse, Türk toprağında toplanıyorlar.",0
"İstanbul ""2022'nin en harika 50 yeri"" listesinde birinci sırada mı?","İstanbul, Time dergisinin 2022 yılının 50 en harika yeri listesinde ilk sırada yer aldı.",0
Göbeklitepe'nin zeminine beton döküldü,"Sosyal medyada Göbeklitepe'nin zeminine beton döküldüğü iddiası öne sürüldü. Paylaşım kısa sürede çok sayıda beğeni ve etkileşim alarak gündem oldu.

",0
Firavun 2. Ramses'e özel pasaport çıkartıldığı iddiası,"Sosyal medyada, Firavun 2.Ramses'in çürümesini önlemek için 1974 yılında Fransa'ya nakli gerektiği ancak Fransa yasalarının herkesin pasaporta sahip olmasını zorunlu tutmasından dolayı 3000 yıl sonra 2. Ramses'in mumyasına pasaport çıkartıldığı ileri sürüldü.",0
Restore edilen tarihi Kız Kulesi yıkıldı mı?,"Kültür ve Turizm Bakanlığı'nca restore edilen Kız Kulesi'nin yıkıldığı ileri sürüldü. İddia, sosyal medyada bir videoyla paylaşıldı. İçerik Twitter'da #KızKulesi etiketiyle trend oldu.",0
Görüntüdeki kişinin oyuncu Jason Statham olduğu iddiası,"Arabasına Filistin bayrağı astığı görülen kişinin İngiliz oyuncu Jason Statham olduğu iddiası kısa süre içinde X (eski adıyla Twitter), Instagram, YouTube ve TikTok gibi sosyal medya platformlarında yayıldı.",0
Videonun Titanik batarken çekildiği iddiası,"Youtube'ta paylaşılan bir videoda yer alan görüntülerin Titanik batarken, Joseph Davies adlı bir yolcu tarafından çekildiği iddia edildi. ",0
"Görselin, Eyfel Kulesi'nin reddedilen tasarımlarını gösterdiği iddiası","Sosyal medyada paylaşılan çizimlerin, Eyfel Kulesi'nin uygulamaya geçirilmeyen tasarımlarını gösterdiği iddia edildi. 14 farklı kule çiziminden oluşan görsel çok sayıda etkileşim aldı.",
Fransa'da TikTok yasaklandı,Fransa TikTok'u resmi olarak yasakladı,0
"Fotoğraf, gerçek bir TÜBİTAK projesini gösteriyor","X'te (eski adıyla Twitter) Türkiye Bilimsel ve Teknik Araştırma Kurumu'nun (TÜBİTAK) logosunun bulunduğu bir proje görseli paylaşıldı. ""Papaz Eriğini İmam Eriğine Çevirme"" Projesi olarak adlandırılan düzeneğin ""TÜBİTAK ödülü aldığı"" iddiası öne sürüldü",0
"Video, ABD'li rapçi Kanye West'in tasarladığı aracı gösteriyor","Sosyal medyada fütüristik tasarımıyla dikkat çeken bir aracın videosun dolaşıma sokuldu. Videonun ABD'li rapçi Kanye West'in tasarımını ve tanıtımını yaptığı ""Yeezy"" adlı aracı gösterdiği iddia edildi. Paylaşımda, iki milyon liraya satıldığı iddia edilen araçtan ABD'de üç adet bulunduğu detayına da yer verildi.",0
Güneş'te büyük bir patlama meydana geldi,"Sosyal medyada, Güneş'te büyük bir patlama geldiği öne sürüldü. Paylaşımlarda, meydana gelen patlama nedeniyle iletişim araçlarında arızalar yaşanabileceği  söylendi",0
Denizli'de zehirli gaz püskürten jeotermal kuyuya 9 gündür müdahale edilmiyor,Denizli Sarayköy'deki jeotermal santral sondajında meydana gelen patlama sonucu zehirli hidrojen sülfür gazı 10 gündür çevreye yayılmaya devam ediyor. Hiçbir açıklama yok,0
