category,temizlenmis_title,temizlenmis_description,title_sentiment_label,description_sentiment_label,title_sentiment,description_sentiment,source,temizlenmis_title_tokens,temizlenmis_title_lemmas,temizlenmis_description_tokens,temizlenmis_description_lemmas
entertainment,ilayda alişan oğulcan engin tatilde gelsene aşkım,ilayda alişan oğulcan engin bayram tatilini geçirmek için çeşmeyi tercih etti,negative,negative,[0.98128235 0.01871766],[0.9950282  0.00497178],Hurriyet.com.tr,"['ilayda', 'alişan', 'oğulcan', 'engin', 'tatilde', 'gelsene', 'aşkım']","['ilayda', 'alişan', 'oğulcan', 'engin', 'tatil', 'gel', 'aşk']","['ilayda', 'alişan', 'oğulcan', 'engin', 'bayram', 'tatilini', 'geçirmek', 'için', 'çeşmeyi', 'tercih', 'etti']","['ilayda', 'alişan', 'oğulcan', 'engin', 'bayram', 'tatil', 'geçir', 'için', 'çeşme', 'tercih', 'et']"
other,bozcaadaya girişçıkış ücreti yeniden gündem oldu,yaz aylarında tatilcilerin akınına uğrayan bozcaadada belediye adada ikamet etmeyenlerden çevre trafik düzenlemesi katkı ücreti alıyor yıl tl olan ücret sosyal medyada tartışılırken artan su tüketimi ada sakinlerinin olumsuz etkilenen günlü,negative,negative,[0.9583202  0.04167984],[0.99517184 0.00482813],Haberturk.com,"['bozcaadaya', 'girişçıkış', 'ücreti', 'yeniden', 'gündem', 'oldu']","['bozcaada', 'girişçıkış', 'ücret', 'yeniden', 'gündem', 'ol']","['yaz', 'aylarında', 'tatilcilerin', 'akınına', 'uğrayan', 'bozcaadada', 'belediye', 'adada', 'ikamet', 'etmeyenlerden', 'çevre', 'trafik', 'düzenlemesi', 'katkı', 'ücreti', 'alıyor', 'yıl', 'tl', 'olan', 'ücret', 'sosyal', 'medyada', 'tartışılırken', 'artan', 'su', 'tüketimi', 'ada', 'sakinlerinin', 'olumsuz', 'etkilenen', 'günlü']","['yaz', 'ay', 'tatilci', 'akın', 'uğra', 'bozcaada', 'beledi', 'ada', 'ikamet', 'et', 'çevre', 'trafik', 'düzenle', 'katkı', 'ücret', 'al', 'yıl', 'tl', 'ol', 'ücret', 'sosyal', 'medya', 'tartış', 'art', 'su', 'tüket', 'ada', 'sakin', 'olumsuz', 'etkile', 'günlü']"
politics,ak parti myk toplantısında gündem,ak parti merkez yürütme kurulu myk yarın cumhurbaşkanı recep tayyip erdoğan başkanlığında toplanıyor toplantıda siyasetteki normalleşme tartışmaları yeni anayasa hazırlık sürecinin yanı sıra vergide reform paketi gündeme gelecek erdoğan toplantı so,neutral,neutral,[0.26990727 0.73009276],[0.12523997 0.8747601 ],Haberturk.com,"['ak', 'parti', 'myk', 'toplantısında', 'gündem']","['ak', 'parti', 'myk', 'toplantı', 'gündem']","['ak', 'parti', 'merkez', 'yürütme', 'kurulu', 'myk', 'yarın', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlığında', 'toplanıyor', 'toplantıda', 'siyasette', 'ki', 'normalleşme', 'tartışmaları', 'yeni', 'anayasa', 'hazırlık', 'sürecinin', 'yanı', 'sıra', 'vergide', 'reform', 'paketi', 'gündeme', 'gelecek', 'erdoğan', 'toplantı', 'so']","['ak', 'parti', 'merkez', 'yürü', 'kurul', 'myk', 'yarın', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlık', 'topla', 'toplantı', 'siyaset', 'ki', 'normalleş', 'tartışma', 'yeni', 'anayasa', 'hazırlık', 'süreç', 'yan', 'sıra', 'vergi', 'reform', 'paket', 'gündem', 'gel', 'erdoğan', 'toplantı', 'so']"
other,sosyal medyada gündem olmuştu istanbuldaki tepki çeken tabelalar kaldırıldı,sadrazam mehmet paşa tarafından lü yılların başında inşa edilen çeşme namazgah yıllar içinde kaderine terk edildi tarihi yapının altında alüminyum doğrama oto lastik dükkanı açıldı çevredekilerin sosyal medyadaki tepkileri üzerine harekete geç,neutral,negative,[0.12184697 0.8781531 ],[0.9979048  0.00209526],Hurriyet.com.tr,"['sosyal', 'medyada', 'gündem', 'olmuştu', 'istanbulda', 'ki', 'tepki', 'çeken', 'tabelalar', 'kaldırıldı']","['sosyal', 'medya', 'gündem', 'ol', 'istanbul', 'ki', 'tepki', 'çek', 'tabela', 'kal']","['sadrazam', 'mehmet', 'paşa', 'tarafından', 'lü', 'yılların', 'başında', 'inşa', 'edilen', 'çeşme', 'namazgah', 'yıllar', 'içinde', 'kaderine', 'terk', 'edildi', 'tarihi', 'yapının', 'altında', 'alüminyum', 'doğrama', 'oto', 'lastik', 'dükkanı', 'açıldı', 'çevredekilerin', 'sosyal', 'medyada', 'ki', 'tepkileri', 'üzerine', 'harekete', 'geç']","['sadrazam', 'mehmet', 'Haşa', 'taraf', 'li', 'yıl', 'baş', 'inşa', 'et', 'çeşme', 'namazgah', 'yıl', 'iç', 'kader', 'terk', 'et', 'tarih', 'yapı', 'alt', 'alüminyu', 'doğra', 'oto', 'lastik', 'dükkan', 'aç', 'çevredeki', 'sosyal', 'medya', 'ki', 'tepki', 'üzer', 'hareket', 'geç']"
sports,barış alper yılmaz paylaşımı gündem olmuştu bakanlıktan murat gevrek açıklaması,gençlik spor bakanlığı dün akşam milli futbolcu barış alper yılmaz hakkında paylaşımda bulunan murat gevrekin hatay gençlik spor il müdürlüğü görevinin önce sona erdiğini belirtti,negative,negative,[0.9892384  0.01076157],[0.99128354 0.00871653],Hurriyet.com.tr,"['barış', 'alper', 'yılmaz', 'paylaşımı', 'gündem', 'olmuştu', 'bakanlıktan', 'murat', 'gevrek', 'açıklaması']","['barış', 'alper', 'yılmaz', 'paylaşım', 'gündem', 'ol', 'bakanlık', 'murat', 'gevrek', 'açıkla']","['gençlik', 'spor', 'bakanlığı', 'dün', 'akşam', 'milli', 'futbolcu', 'barış', 'alper', 'yılmaz', 'hakkında', 'paylaşımda', 'bulunan', 'murat', 'gevrekin', 'hatay', 'gençlik', 'spor', 'il', 'müdürlüğü', 'görevinin', 'önce', 'sona', 'erdiğini', 'belirtti']","['gençlik', 'spor', 'bakanlık', 'dün', 'akşam', 'milli', 'futbolcu', 'barış', 'alper', 'yılmaz', 'hak', 'paylaşım', 'bulun', 'murat', 'gevrekin', 'hatay', 'gençlik', 'spor', 'il', 'müdürlük', 'görev', 'önce', 'son', 'er', 'belir']"
politics,erdoğan bugün abdye gidiyor natoda liderlerle sıcak gündem,cumhurbaşkanı erdoğan nato zirvesinde ittifak liderleriyle araya gelirken gazzeden ukrayna savaşına karadenizin güvenliğinden terörle mücadeleye türkiyenin durduğu yeri kez vurgulayacak,neutral,neutral,[0.02824471 0.9717553 ],[0.02091598 0.979084  ],Hurriyet.com.tr,"['erdoğan', 'bugün', 'abdye', 'gidiyor', 'natoda', 'liderlerle', 'sıcak', 'gündem']","['erdoğan', 'bugün', 'abdye', 'git', 'nato', 'lider', 'sıcak', 'gündem']","['cumhurbaşkanı', 'erdoğan', 'nato', 'zirvesinde', 'ittifak', 'liderleriyle', 'araya', 'gelirken', 'gazzeden', 'ukrayna', 'savaşına', 'karadenizin', 'güvenliğinden', 'terörle', 'mücadeleye', 'türkiyenin', 'durduğu', 'yeri', 'kez', 'vurgulayacak']","['cumhurbaşkanı', 'erdoğan', 'nato', 'zirve', 'ittifak', 'lider', 'ara', 'gel', 'gazze', 'ukrayna', 'savaş', 'karade', 'güvenlik', 'terör', 'mücadele', 'türkiye', 'dur', 'yer', 'kez', 'vurgula']"
entertainment,dilan çıtak konuşacağım dedi sessizliğe büründü,dilan çıtak tatlıses kız çocuğuna yapılan şiddeti herkes bilmeli paylaşımının ardından sessizliğe büründü bodrumda görüntülenen şarkıcı kısa sürede sildiği paylaşımıyla ilgili soruları konuşulacak yok diyerek yanıtsız bıraktı,negative,negative,[0.9974759  0.00252411],[0.98338795 0.01661201],Hurriyet.com.tr,"['dilan', 'çıtak', 'konuşacağım', 'dedi', 'sessizliğe', 'büründü']","['dilan', 'çıtak', 'konuş', 'de', 'sessizlik', 'bürü']","['dilan', 'çıtak', 'tatlıses', 'kız', 'çocuğuna', 'yapılan', 'şiddeti', 'herkes', 'bilmeli', 'paylaşımının', 'ardından', 'sessizliğe', 'büründü', 'bodrumda', 'görüntülenen', 'şarkıcı', 'kısa', 'sürede', 'sildiği', 'paylaşımıyla', 'ilgili', 'soruları', 'konuşulacak', 'yok', 'diyerek', 'yanıtsız', 'bıraktı']","['dilan', 'çıtak', 'tatlıses', 'kız', 'çocuk', 'yap', 'şiddet', 'herkes', 'bil', 'paylaşım', 'art', 'sessizlik', 'bürü', 'bodrum', 'görün', 'şarkıcı', 'kısa', 'süre', 'sil', 'paylaşım', 'ilgili', 'soru', 'konuş', 'yok', 'de', 'yanıtsız', 'bırak']"
politics,orban türkiye rusyaukrayna savaşında başarıyla arabuluculuk yapan tek ülke,macaristan başbakanı viktor orban nato zirvesinde cumhurbaşkanı recep tayyip erdoğanla görüşmesine dair yaptığı açıklamada türkiye rusyaukrayna savaşında taraflar arasında başarıyla arabuluculuk yapan tek ülkedir dedi orban ukrayna barış misyonunda e,negative,neutral,[0.5001889  0.49981108],[0.41261765 0.5873823 ],Hurriyet.com.tr,"['orban', 'türkiye', 'rusyaukrayna', 'savaşında', 'başarıyla', 'arabuluculuk', 'yapan', 'tek', 'ülke']","['orban', 'türkiye', 'rusyaukrayna', 'savaş', 'başarı', 'arabuluculuk', 'yap', 'tek', 'ülke']","['macaristan', 'başbakanı', 'viktor', 'orban', 'nato', 'zirvesinde', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğanla', 'görüşmesine', 'dair', 'yaptığı', 'açıklamada', 'türkiye', 'rusyaukrayna', 'savaşında', 'taraflar', 'arasında', 'başarıyla', 'arabuluculuk', 'yapan', 'tek', 'ülke', 'dir', 'dedi', 'orban', 'ukrayna', 'barış', 'misyonunda', 'e']","['macaristan', 'başbakan', 'viktor', 'orban', 'nato', 'zirve', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'görüş', 'dair', 'yap', 'açıkla', 'türkiye', 'rusyaukrayn', 'savaş', 'taraf', 'ara', 'başarı', 'arabuluculuk', 'yap', 'tek', 'ülke', 'i', 'de', 'orban', 'ukrayna', 'barış', 'misyon', 'e']"
other,istanbulda sokak ortasında develer görüldü,sosyal medyada yayılan video izleyenleri şaşırttı istanbulda sokak ortasında gezen deve gündem oldu,negative,neutral,[0.9035101  0.09648984],[0.08332448 0.91667557],Haberturk.com,"['istanbulda', 'sokak', 'ortasında', 'develer', 'görüldü']","['istanbul', 'sokak', 'orta', 'deve', 'gör']","['sosyal', 'medyada', 'yayılan', 'video', 'izleyenleri', 'şaşırttı', 'istanbulda', 'sokak', 'ortasında', 'gezen', 'deve', 'gündem', 'oldu']","['sosyal', 'medya', 'yay', 'video', 'izleyen', 'şaşır', 'istanbul', 'sokak', 'orta', 'gez', 'deve', 'gündem', 'ol']"
politics,kabine bugün toplanıyor emekli ek zammı masada,kabine bugün cumhurbaşkanı recep tayyip erdoğan başkanlığında cumhurbaşkanlığı külliyesinde toplanıyor kabinede konu masaya yatırılacak en önemli gündem konusu emekli ek zammı olacak kabinenin ardından milyonlarca emekliyi ilgilendiren ek zam,neutral,neutral,[0.3975347 0.6024653],[0.17183167 0.82816833],Haberturk.com,"['kabine', 'bugün', 'toplanıyor', 'emekli', 'ek', 'zammı', 'masada']","['kapine', 'bugün', 'topla', 'emekli', 'ek', 'zam', 'masa']","['kabine', 'bugün', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlığında', 'cumhurbaşkanlığı', 'külliyesinde', 'toplanıyor', 'kabinede', 'konu', 'masaya', 'yatırılacak', 'en', 'önem', 'li', 'gündem', 'konusu', 'emekli', 'ek', 'zammı', 'olacak', 'kabinenin', 'ardından', 'milyonlarca', 'emekliyi', 'ilgilendiren', 'ek', 'zam']","['kapine', 'bugün', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlık', 'cumhurbaşkanlığı', 'külliye', 'topla', 'kapine', 'konu', 'masa', 'yatır', 'en', 'önem', 'li', 'gündem', 'konu', 'emekli', 'ek', 'zam', 'ol', 'kabine', 'ardından', 'milyonlarca', 'emekli', 'ilgilen', 'ek', 'zam']"
politics,kabine kararları sonuçları,kabine bugün cumhurbaşkanı recep tayyip erdoğan başkanlığında cumhurbaşkanlığı külliyesinde toplanıyor kabinede konu masaya yatırılacak en önemli gündem konusu emekli ek zammı olacak kabinenin ardından milyonlarca emekliyi ilgilendiren ek zam,neutral,neutral,[0.3682895 0.6317105],[0.17183167 0.82816833],Haberturk.com,"['kabine', 'kararları', 'sonuçları']","['kapine', 'karar', 'sonuç']","['kabine', 'bugün', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlığında', 'cumhurbaşkanlığı', 'külliyesinde', 'toplanıyor', 'kabinede', 'konu', 'masaya', 'yatırılacak', 'en', 'önem', 'li', 'gündem', 'konusu', 'emekli', 'ek', 'zammı', 'olacak', 'kabinenin', 'ardından', 'milyonlarca', 'emekliyi', 'ilgilendiren', 'ek', 'zam']","['kapine', 'bugün', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlık', 'cumhurbaşkanlığı', 'külliye', 'topla', 'kapine', 'konu', 'masa', 'yatır', 'en', 'önem', 'li', 'gündem', 'konu', 'emekli', 'ek', 'zam', 'ol', 'kabine', 'ardından', 'milyonlarca', 'emekli', 'ilgilen', 'ek', 'zam']"
sports,beşiktaşta sağlık kontrolleri devam ediyor,beşiktaşta takımdan ayrılması gündem olan futbolcular vincent aboubakar arthur masuaku omar colley kulübün sponsor hastanesinde sağlık kontrolünden geçti,neutral,negative,[0.03824247 0.96175754],[0.87642854 0.12357145],Haberturk.com,"['beşiktaşta', 'sağlık', 'kontrolleri', 'devam', 'ediyor']","['beşiktaş', 'sağlık', 'kontrol', 'devam', 'et']","['beşiktaşta', 'takımdan', 'ayrılması', 'gündem', 'olan', 'futbolcular', 'vincent', 'aboubakar', 'arthur', 'masua', 'ku', 'omar', 'colley', 'kulübün', 'sponsor', 'hastanesinde', 'sağlık', 'kontrolünden', 'geçti']","['beşiktaş', 'takım', 'ayrıl', 'gündem', 'ol', 'futbolcu', 'vincent', 'aboubakar', 'arthur', 'masua', 'ki', 'omar', 'colley', 'kulüp', 'sponsor', 'hastane', 'sağlık', 'kontrolü', 'geç']"
entertainment,uraz erkek rol arkadaşıyla öpüştü,uraz kaygılaroğlu aşık shakespeare adlı tiyatro oyununun provalarında erkek rol arkadaşıyla öpüştü anlar sosyal medyada gündem oldu,negative,negative,[0.98205066 0.01794931],[0.9006967  0.09930336],Haberturk.com,"['uraz', 'erkek', 'rol', 'arkadaşıyla', 'öpüştü']","['uraz', 'erkek', 'rol', 'arkadaş', 'öpüş']","['uraz', 'kaygılaroğlu', 'aşık', 'shakespeare', 'adlı', 'tiyatro', 'oyununun', 'provalarında', 'erkek', 'rol', 'arkadaşıyla', 'öpüştü', 'anlar', 'sosyal', 'medyada', 'gündem', 'oldu']","['uraz', 'kaygılaroğlu', 'aşık', 'shakespear', 'adlı', 'tiyatro', 'oyun', 'prova', 'erkek', 'rol', 'arkadaş', 'öpüş', 'anla', 'sosyal', 'medya', 'gündem', 'ol']"
