category,temizlenmis_title,Real/Fake,temizlenmis_description,temizlenmis_title_tokens,temizlenmis_title_lemmas,temizlenmis_description_tokens,temizlenmis_description_lemmas
politics,ak parti myk toplantısında gündem,1,ak parti merkez yürütme kurulu myk yarın cumhurbaşkanı recep tayyip erdoğan başkanlığında toplanıyor toplantıda siyasetteki normalleşme tartışmaları yeni anayasa hazırlık sürecinin yanı sıra vergide reform paketi gündeme gelecek erdoğan toplantı so,"['ak', 'parti', 'myk', 'toplantısında', 'gündem']","['ak', 'parti', 'myk', 'toplantı', 'gündem']","['ak', 'parti', 'merkez', 'yürütme', 'kurulu', 'myk', 'yarın', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlığında', 'toplanıyor', 'toplantıda', 'siyasette', 'ki', 'normalleşme', 'tartışmaları', 'yeni', 'anayasa', 'hazırlık', 'sürecinin', 'yanı', 'sıra', 'vergide', 'reform', 'paketi', 'gündeme', 'gelecek', 'erdoğan', 'toplantı', 'so']","['ak', 'parti', 'merkez', 'yürü', 'kurul', 'myk', 'yarın', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlık', 'topla', 'toplantı', 'siyaset', 'ki', 'normalleş', 'tartışma', 'yeni', 'anayasa', 'hazırlık', 'süreç', 'yan', 'sıra', 'vergi', 'reform', 'paket', 'gündem', 'gel', 'erdoğan', 'toplantı', 'so']"
other,sosyal medyada gündem olmuştu istanbuldaki tepki çeken tabelalar kaldırıldı,1,sadrazam mehmet paşa tarafından lü yılların başında inşa edilen çeşme namazgah yıllar içinde kaderine terk edildi tarihi yapının altında alüminyum doğrama oto lastik dükkanı açıldı çevredekilerin sosyal medyadaki tepkileri üzerine harekete geç,"['sosyal', 'medyada', 'gündem', 'olmuştu', 'istanbulda', 'ki', 'tepki', 'çeken', 'tabelalar', 'kaldırıldı']","['sosyal', 'medya', 'gündem', 'ol', 'istanbul', 'ki', 'tepki', 'çek', 'tabela', 'kal']","['sadrazam', 'mehmet', 'paşa', 'tarafından', 'lü', 'yılların', 'başında', 'inşa', 'edilen', 'çeşme', 'namazgah', 'yıllar', 'içinde', 'kaderine', 'terk', 'edildi', 'tarihi', 'yapının', 'altında', 'alüminyum', 'doğrama', 'oto', 'lastik', 'dükkanı', 'açıldı', 'çevredekilerin', 'sosyal', 'medyada', 'ki', 'tepkileri', 'üzerine', 'harekete', 'geç']","['sadrazam', 'mehmet', 'Haşa', 'taraf', 'li', 'yıl', 'baş', 'inşa', 'et', 'çeşme', 'namazgah', 'yıl', 'iç', 'kader', 'terk', 'et', 'tarih', 'yapı', 'alt', 'alüminyu', 'doğra', 'oto', 'lastik', 'dükkan', 'aç', 'çevredeki', 'sosyal', 'medya', 'ki', 'tepki', 'üzer', 'hareket', 'geç']"
sports,barış alper yılmaz paylaşımı gündem olmuştu bakanlıktan murat gevrek açıklaması,1,gençlik spor bakanlığı dün akşam milli futbolcu barış alper yılmaz hakkında paylaşımda bulunan murat gevrekin hatay gençlik spor il müdürlüğü görevinin önce sona erdiğini belirtti,"['barış', 'alper', 'yılmaz', 'paylaşımı', 'gündem', 'olmuştu', 'bakanlıktan', 'murat', 'gevrek', 'açıklaması']","['barış', 'alper', 'yılmaz', 'paylaşım', 'gündem', 'ol', 'bakanlık', 'murat', 'gevrek', 'açıkla']","['gençlik', 'spor', 'bakanlığı', 'dün', 'akşam', 'milli', 'futbolcu', 'barış', 'alper', 'yılmaz', 'hakkında', 'paylaşımda', 'bulunan', 'murat', 'gevrekin', 'hatay', 'gençlik', 'spor', 'il', 'müdürlüğü', 'görevinin', 'önce', 'sona', 'erdiğini', 'belirtti']","['gençlik', 'spor', 'bakanlık', 'dün', 'akşam', 'milli', 'futbolcu', 'barış', 'alper', 'yılmaz', 'hak', 'paylaşım', 'bulun', 'murat', 'gevrekin', 'hatay', 'gençlik', 'spor', 'il', 'müdürlük', 'görev', 'önce', 'son', 'er', 'belir']"
politics,erdoğan bugün abdye gidiyor natoda liderlerle sıcak gündem,1,cumhurbaşkanı erdoğan nato zirvesinde ittifak liderleriyle araya gelirken gazzeden ukrayna savaşına karadenizin güvenliğinden terörle mücadeleye türkiyenin durduğu yeri kez vurgulayacak,"['erdoğan', 'bugün', 'abdye', 'gidiyor', 'natoda', 'liderlerle', 'sıcak', 'gündem']","['erdoğan', 'bugün', 'abdye', 'git', 'nato', 'lider', 'sıcak', 'gündem']","['cumhurbaşkanı', 'erdoğan', 'nato', 'zirvesinde', 'ittifak', 'liderleriyle', 'araya', 'gelirken', 'gazzeden', 'ukrayna', 'savaşına', 'karadenizin', 'güvenliğinden', 'terörle', 'mücadeleye', 'türkiyenin', 'durduğu', 'yeri', 'kez', 'vurgulayacak']","['cumhurbaşkanı', 'erdoğan', 'nato', 'zirve', 'ittifak', 'lider', 'ara', 'gel', 'gazze', 'ukrayna', 'savaş', 'karade', 'güvenlik', 'terör', 'mücadele', 'türkiye', 'dur', 'yer', 'kez', 'vurgula']"
entertainment,dilan çıtak konuşacağım dedi sessizliğe büründü,1,dilan çıtak tatlıses kız çocuğuna yapılan şiddeti herkes bilmeli paylaşımının ardından sessizliğe büründü bodrumda görüntülenen şarkıcı kısa sürede sildiği paylaşımıyla ilgili soruları konuşulacak yok diyerek yanıtsız bıraktı,"['dilan', 'çıtak', 'konuşacağım', 'dedi', 'sessizliğe', 'büründü']","['dilan', 'çıtak', 'konuş', 'de', 'sessizlik', 'bürü']","['dilan', 'çıtak', 'tatlıses', 'kız', 'çocuğuna', 'yapılan', 'şiddeti', 'herkes', 'bilmeli', 'paylaşımının', 'ardından', 'sessizliğe', 'büründü', 'bodrumda', 'görüntülenen', 'şarkıcı', 'kısa', 'sürede', 'sildiği', 'paylaşımıyla', 'ilgili', 'soruları', 'konuşulacak', 'yok', 'diyerek', 'yanıtsız', 'bıraktı']","['dilan', 'çıtak', 'tatlıses', 'kız', 'çocuk', 'yap', 'şiddet', 'herkes', 'bil', 'paylaşım', 'art', 'sessizlik', 'bürü', 'bodrum', 'görün', 'şarkıcı', 'kısa', 'süre', 'sil', 'paylaşım', 'ilgili', 'soru', 'konuş', 'yok', 'de', 'yanıtsız', 'bırak']"
politics,orban türkiye rusyaukrayna savaşında başarıyla arabuluculuk yapan tek ülke,1,macaristan başbakanı viktor orban nato zirvesinde cumhurbaşkanı recep tayyip erdoğanla görüşmesine dair yaptığı açıklamada türkiye rusyaukrayna savaşında taraflar arasında başarıyla arabuluculuk yapan tek ülkedir dedi orban ukrayna barış misyonunda e,"['orban', 'türkiye', 'rusyaukrayna', 'savaşında', 'başarıyla', 'arabuluculuk', 'yapan', 'tek', 'ülke']","['orban', 'türkiye', 'rusyaukrayna', 'savaş', 'başarı', 'arabuluculuk', 'yap', 'tek', 'ülke']","['macaristan', 'başbakanı', 'viktor', 'orban', 'nato', 'zirvesinde', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğanla', 'görüşmesine', 'dair', 'yaptığı', 'açıklamada', 'türkiye', 'rusyaukrayna', 'savaşında', 'taraflar', 'arasında', 'başarıyla', 'arabuluculuk', 'yapan', 'tek', 'ülke', 'dir', 'dedi', 'orban', 'ukrayna', 'barış', 'misyonunda', 'e']","['macaristan', 'başbakan', 'viktor', 'orban', 'nato', 'zirve', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'görüş', 'dair', 'yap', 'açıkla', 'türkiye', 'rusyaukrayn', 'savaş', 'taraf', 'ara', 'başarı', 'arabuluculuk', 'yap', 'tek', 'ülke', 'i', 'de', 'orban', 'ukrayna', 'barış', 'misyon', 'e']"
other,istanbulda sokak ortasında develer görüldü,0,sosyal medyada yayılan video izleyenleri şaşırttı istanbulda sokak ortasında gezen deve gündem oldu,"['istanbulda', 'sokak', 'ortasında', 'develer', 'görüldü']","['istanbul', 'sokak', 'orta', 'deve', 'gör']","['sosyal', 'medyada', 'yayılan', 'video', 'izleyenleri', 'şaşırttı', 'istanbulda', 'sokak', 'ortasında', 'gezen', 'deve', 'gündem', 'oldu']","['sosyal', 'medya', 'yay', 'video', 'izleyen', 'şaşır', 'istanbul', 'sokak', 'orta', 'gez', 'deve', 'gündem', 'ol']"
politics,kabine bugün toplanıyor emekli ek zammı masada,1,kabine bugün cumhurbaşkanı recep tayyip erdoğan başkanlığında cumhurbaşkanlığı külliyesinde toplanıyor kabinede konu masaya yatırılacak en önemli gündem konusu emekli ek zammı olacak kabinenin ardından milyonlarca emekliyi ilgilendiren ek zam,"['kabine', 'bugün', 'toplanıyor', 'emekli', 'ek', 'zammı', 'masada']","['kapine', 'bugün', 'topla', 'emekli', 'ek', 'zam', 'masa']","['kabine', 'bugün', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlığında', 'cumhurbaşkanlığı', 'külliyesinde', 'toplanıyor', 'kabinede', 'konu', 'masaya', 'yatırılacak', 'en', 'önem', 'li', 'gündem', 'konusu', 'emekli', 'ek', 'zammı', 'olacak', 'kabinenin', 'ardından', 'milyonlarca', 'emekliyi', 'ilgilendiren', 'ek', 'zam']","['kapine', 'bugün', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlık', 'cumhurbaşkanlığı', 'külliye', 'topla', 'kapine', 'konu', 'masa', 'yatır', 'en', 'önem', 'li', 'gündem', 'konu', 'emekli', 'ek', 'zam', 'ol', 'kabine', 'ardından', 'milyonlarca', 'emekli', 'ilgilen', 'ek', 'zam']"
politics,kabine kararları sonuçları,1,kabine bugün cumhurbaşkanı recep tayyip erdoğan başkanlığında cumhurbaşkanlığı külliyesinde toplanıyor kabinede konu masaya yatırılacak en önemli gündem konusu emekli ek zammı olacak kabinenin ardından milyonlarca emekliyi ilgilendiren ek zam,"['kabine', 'kararları', 'sonuçları']","['kapine', 'karar', 'sonuç']","['kabine', 'bugün', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlığında', 'cumhurbaşkanlığı', 'külliyesinde', 'toplanıyor', 'kabinede', 'konu', 'masaya', 'yatırılacak', 'en', 'önem', 'li', 'gündem', 'konusu', 'emekli', 'ek', 'zammı', 'olacak', 'kabinenin', 'ardından', 'milyonlarca', 'emekliyi', 'ilgilendiren', 'ek', 'zam']","['kapine', 'bugün', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlık', 'cumhurbaşkanlığı', 'külliye', 'topla', 'kapine', 'konu', 'masa', 'yatır', 'en', 'önem', 'li', 'gündem', 'konu', 'emekli', 'ek', 'zam', 'ol', 'kabine', 'ardından', 'milyonlarca', 'emekli', 'ilgilen', 'ek', 'zam']"
sports,beşiktaşta sağlık kontrolleri devam ediyor,1,beşiktaşta takımdan ayrılması gündem olan futbolcular vincent aboubakar arthur masuaku omar colley kulübün sponsor hastanesinde sağlık kontrolünden geçti,"['beşiktaşta', 'sağlık', 'kontrolleri', 'devam', 'ediyor']","['beşiktaş', 'sağlık', 'kontrol', 'devam', 'et']","['beşiktaşta', 'takımdan', 'ayrılması', 'gündem', 'olan', 'futbolcular', 'vincent', 'aboubakar', 'arthur', 'masua', 'ku', 'omar', 'colley', 'kulübün', 'sponsor', 'hastanesinde', 'sağlık', 'kontrolünden', 'geçti']","['beşiktaş', 'takım', 'ayrıl', 'gündem', 'ol', 'futbolcu', 'vincent', 'aboubakar', 'arthur', 'masua', 'ki', 'omar', 'colley', 'kulüp', 'sponsor', 'hastane', 'sağlık', 'kontrolü', 'geç']"
entertainment,uraz erkek rol arkadaşıyla öpüştü,1,uraz kaygılaroğlu aşık shakespeare adlı tiyatro oyununun provalarında erkek rol arkadaşıyla öpüştü anlar sosyal medyada gündem oldu,"['uraz', 'erkek', 'rol', 'arkadaşıyla', 'öpüştü']","['uraz', 'erkek', 'rol', 'arkadaş', 'öpüş']","['uraz', 'kaygılaroğlu', 'aşık', 'shakespeare', 'adlı', 'tiyatro', 'oyununun', 'provalarında', 'erkek', 'rol', 'arkadaşıyla', 'öpüştü', 'anlar', 'sosyal', 'medyada', 'gündem', 'oldu']","['uraz', 'kaygılaroğlu', 'aşık', 'shakespear', 'adlı', 'tiyatro', 'oyun', 'prova', 'erkek', 'rol', 'arkadaş', 'öpüş', 'anla', 'sosyal', 'medya', 'gündem', 'ol']"
entertainment,kadir inanırdan haber var,1,kadir inanırın sağlık durumunun iyiye gitmediği hatta entübe edildiği öne sürüldü hayat arkadaşı jülide kural iddiaları yalanladı akciğerinde görülen enfeksiyon nedeniyle gündür tedbir amaçlı yoğun bakımda entübelik durum yok hatta kadir bey günd,"['kadir', 'inanırdan', 'haber', 'var']","['kadir', 'inanır', 'haber', 'var']","['kadir', 'inanırın', 'sağlık', 'durumunun', 'iyiye', 'gitmediği', 'hatta', 'entübe', 'edildiği', 'öne', 'sürüldü', 'hayat', 'arkadaşı', 'jülide', 'kural', 'iddiaları', 'yalanladı', 'akciğerinde', 'görülen', 'enfeksiyon', 'nedeniyle', 'gün', 'dür', 'tedbir', 'amaçlı', 'yoğun', 'bakımda', 'entübelik', 'durum', 'yok', 'hatta', 'kadir', 'bey', 'günd']","['kadir', 'inanır', 'sağlık', 'durum', 'iyi', 'git', 'hatta', 'entübe', 'et', 'ön', 'sür', 'hayat', 'arkadaş', 'jüli', 'kural', 'iddia', 'yalanla', 'akci', 'gör', 'enfeksiyon', 'neden', 'gün', 'i', 'tedbir', 'amaçlı', 'yoğun', 'bakım', 'entübelik', 'durum', 'yok', 'hatta', 'kadir', 'bey', 'gün']"
politics,bidenı beklerken gözlerini devirdi,1,italya başbakanı giorgia meloninin nato zirvesinde liderlerle birlikte abd başkanı joe bidenı beklerken gözlerini devirmesi sosyal medyada dünya çapında gündem oldu,"['bidenı', 'beklerken', 'gözlerini', 'devirdi']","['biden', 'bekle', 'göz', 'de']","['italya', 'başbakanı', 'giorgia', 'meloninin', 'nato', 'zirvesinde', 'liderlerle', 'birlikte', 'abd', 'başkanı', 'joe', 'bidenı', 'beklerken', 'gözlerini', 'devirmesi', 'sosyal', 'medyada', 'dünya', 'çapında', 'gündem', 'oldu']","['italya', 'başbakan', 'giorgia', 'meloni', 'nato', 'zirve', 'lider', 'birlikte', 'abd', 'başkan', 'joe', 'biden', 'bekle', 'göz', 'devir', 'sosyal', 'medya', 'dünya', 'çap', 'gündem', 'ol']"
politics,kabine toplanıyor masadaki konular,1,kabine bugün saat cumhurbaşkanı recep tayyip erdoğan başkanlığında cumhurbaşkanlığı külliyesinde toplanıyor masadaki en önemli gündem maddesi emekli maaşları olacak,"['kabine', 'toplanıyor', 'masada', 'ki', 'konular']","['kapine', 'topla', 'masa', 'ki', 'konu']","['kabine', 'bugün', 'saat', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlığında', 'cumhurbaşkanlığı', 'külliyesinde', 'toplanıyor', 'masada', 'ki', 'en', 'önem', 'li', 'gündem', 'maddesi', 'emekli', 'maaşları', 'olacak']","['kapine', 'bugün', 'saat', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlık', 'cumhurbaşkanlığı', 'külliye', 'topla', 'masa', 'ki', 'en', 'önem', 'li', 'gündem', 'madde', 'emekli', 'maaş', 'ol']"
politics,vergi paketine uzman gözü,1,ak parti myk dün cumhurbaşkanı tayyip erdoğan başkanlığında toplanırken gündemde vergi paketi vardı ak parti sözcüsü çelik tartışılan yurtdışı harcının gündem olduğunu henüz son kararın verilmediğini belirterek vergide adalet hedeflenirken uzman,"['vergi', 'paketine', 'uzman', 'gözü']","['vergi', 'paket', 'uzman', 'göz']","['ak', 'parti', 'myk', 'dün', 'cumhurbaşkanı', 'tayyip', 'erdoğan', 'başkanlığında', 'toplanırken', 'gündemde', 'vergi', 'paketi', 'vardı', 'ak', 'parti', 'sözcüsü', 'çelik', 'tartışılan', 'yurtdışı', 'harcının', 'gündem', 'olduğunu', 'henüz', 'son', 'kararın', 'verilmediğini', 'belirterek', 'vergide', 'adalet', 'hedeflenirken', 'uzman']","['ak', 'parti', 'myk', 'dün', 'cumhurbaşkanı', 'tayyip', 'erdoğan', 'başkanlık', 'topla', 'gündem', 'vergi', 'paket', 'var', 'ak', 'parti', 'sözcü', 'çelik', 'tartış', 'yurtdışı', 'harcı', 'gündem', 'ol', 'henüz', 'son', 'karar', 'ver', 'belir', 'vergi', 'adalet', 'hedefle', 'uzman']"
